name,date,leben,lengthleben,idn,iplace,ibio,url
Philo <Presbyter>,[5. Jh.],,0,102402892,0,0,http://www.deutsche-biographie.de/pnd102402892.html
"Pflaum, Jakob",1569 - 1612,,0,1019743956,1,0,http://www.deutsche-biographie.de/pnd1019743956.html
"Pfau, Artur",1909 - 2002,,0,102621811X,1,0,http://www.deutsche-biographie.de/pnd102621811X.html
Philippus <Claraevallensis>,1273,,0,100958400,0,0,http://www.deutsche-biographie.de/pnd100958400.html
"Pfeiffer, Johann",1773 - 1837,,0,116163429,0,0,http://www.deutsche-biographie.de/pnd116163429.html
"Philidor, François-André",1726 - 1795,,0,118791818,1,0,http://www.deutsche-biographie.de/pnd118791818.html
"Pflugk, Wilhelm Eberhard Ferdinand",1872,,0,1019751231,0,0,http://www.deutsche-biographie.de/pnd1019751231.html
"Pfeffer, Alla",-,,0,122923529,1,0,http://www.deutsche-biographie.de/pnd122923529.html
Philo <Larissaeus>,[v159] - [v84],,0,102402949,0,0,http://www.deutsche-biographie.de/pnd102402949.html
"Pfeiffer, Erich",1886 - 1977,,0,1045675989,1,0,http://www.deutsche-biographie.de/pnd1045675989.html
"Pfeifer, Anton",1937 - ,,0,1012383377,1,0,http://www.deutsche-biographie.de/pnd1012383377.html
"Pfinzing, Sigismund",[um 1482-],,0,1019746149,0,0,http://www.deutsche-biographie.de/pnd1019746149.html
"Philipp, Peter",1971 - 2014,,0,122603680,0,0,http://www.deutsche-biographie.de/pnd122603680.html
"Pfister, Jonas",1977 - ,,0,131720317,0,0,http://www.deutsche-biographie.de/pnd131720317.html
Pherecydes <Atheniensis>,[v5./4. Jh.],,0,11879177X,0,0,http://www.deutsche-biographie.de/pnd11879177X.html
Philippides <Comicus>,[v4./3. Jh.],,0,102402663,0,0,http://www.deutsche-biographie.de/pnd102402663.html
Philippus <Beverley>,[gest. 1325],,0,102515689,0,0,http://www.deutsche-biographie.de/pnd102515689.html
"Pfannmüller, Donatus",1873 - 1920,,0,126301107,1,0,http://www.deutsche-biographie.de/pnd126301107.html
"Pfann, Christian Sigmund",1824 - 1885,,0,133555240,1,0,http://www.deutsche-biographie.de/pnd133555240.html
"Pförtner, Hans",1877 - 1943,,0,116173378,1,0,http://www.deutsche-biographie.de/pnd116173378.html
"Pfeiffer, François Joseph",1741 - 1807,,0,124417868,0,0,http://www.deutsche-biographie.de/pnd124417868.html
"Philipp Friedrich <Wien, Bischof>",1597 - 1669,,0,14287700X,1,0,http://www.deutsche-biographie.de/pnd14287700X.html
Philippus <Monachus>,[4. Jh.],,0,10238889X,0,0,http://www.deutsche-biographie.de/pnd10238889X.html
"Pfannenschmidt, Jakob Heinrich",1686 - 1719,,0,1019743778,1,0,http://www.deutsche-biographie.de/pnd1019743778.html
"Philippovich, Hanna von",1890 - 1979,,0,1036761002,0,0,http://www.deutsche-biographie.de/pnd1036761002.html
"Philippe <II., Savoie, Comte>",1438 - 1497,,0,1013467264,0,0,http://www.deutsche-biographie.de/pnd1013467264.html
Philippus <Cornubiensis>,[ca. 14. Jh.],,0,102515697,0,0,http://www.deutsche-biographie.de/pnd102515697.html
"Pfeiffer, Mathias",1979 - ,,0,128915676,1,0,http://www.deutsche-biographie.de/pnd128915676.html
"Philipp Valentin <Bamberg, Bischof>",1612 - 1672,,0,173324878,0,0,http://www.deutsche-biographie.de/pnd173324878.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd122751744.html
