name,date,leben,lengthleben,idn,iplace,ibio,url
,,,0,,0,0,http://www.deutsche-biographie.de/pnd1018903623.html
"Hapkemeyer, Andreas",1955 - ,,0,109991117,0,0,http://www.deutsche-biographie.de/pnd109991117.html
"Hansen, Reimer",1937 - ,,0,11814927X,0,0,http://www.deutsche-biographie.de/pnd11814927X.html
"Hard, Hedwig",1872 - ,,0,1038555310,0,0,http://www.deutsche-biographie.de/pnd1038555310.html
"Hanf, Alfred",1890 - 1974,,0,121457532,1,0,http://www.deutsche-biographie.de/pnd121457532.html
"Hammerstein, Lukas",1958 - ,,0,128376880,0,0,http://www.deutsche-biographie.de/pnd128376880.html
"Hanstein, Wolfram von",1899 - 1965,,0,132725231,0,0,http://www.deutsche-biographie.de/pnd132725231.html
"Hammer, H.",1803[18./19. Jh.],,0,1042805253,1,0,http://www.deutsche-biographie.de/pnd1042805253.html
"Hamm-Brücher, Hildegard",1921 - ,,0,118545396,0,0,http://www.deutsche-biographie.de/pnd118545396.html
"Hammer, Richard",1897 - 1969,,0,1025033094,1,0,http://www.deutsche-biographie.de/pnd1025033094.html
"Hanske, Andreas",1950 - ,,0,122361555,0,0,http://www.deutsche-biographie.de/pnd122361555.html
"Hampe, August",1866 - 1945,,0,116444622,0,0,http://www.deutsche-biographie.de/pnd116444622.html
"Hammesfahr, Petra",1951 - ,,0,121227170,0,0,http://www.deutsche-biographie.de/pnd121227170.html
"Hansen, Hella",1951 - ,,0,1037939778,0,0,http://www.deutsche-biographie.de/pnd1037939778.html
"Harald <Dänemark, König>",[ca. 940-985/987],,0,119127326,0,0,http://www.deutsche-biographie.de/pnd119127326.html
"Hans <von Zürich, 1532>",1532,,0,142554170,1,0,http://www.deutsche-biographie.de/pnd142554170.html
"Hampf-Heinrich, Vroni",1937 - ,,0,139301186,0,0,http://www.deutsche-biographie.de/pnd139301186.html
"Hanenberg, Peter",1961 - ,,0,112135978,1,0,http://www.deutsche-biographie.de/pnd112135978.html
"Hansen, Heinrich",1871 - 1939,,0,133453278,0,0,http://www.deutsche-biographie.de/pnd133453278.html
"Hango, Hermann",1861 - 1934,,0,11645332X,1,0,http://www.deutsche-biographie.de/pnd11645332X.html
"Harcourt, Simon Harcourt",1727,,0,101972885X,1,0,http://www.deutsche-biographie.de/pnd101972885X.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd1034911511.html
"Hamkens, Wilhelm",1896 - 1955,,0,123632099,0,0,http://www.deutsche-biographie.de/pnd123632099.html
"Hampe, Robert",1879 - ,,0,127461507,0,0,http://www.deutsche-biographie.de/pnd127461507.html
"Hanstein, Ernst Friedrich Karl von",1735 - 1802,,0,102889905X,1,0,http://www.deutsche-biographie.de/pnd102889905X.html
"Handke, Kristina",1948 - ,,0,1038516145,1,0,http://www.deutsche-biographie.de/pnd1038516145.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd174217714.html
"Harder, Philipp Gottfried",1681 - 1743,,0,1019742801,1,0,http://www.deutsche-biographie.de/pnd1019742801.html
"Hammerl, Elfriede",1945 - ,,0,115737340,1,0,http://www.deutsche-biographie.de/pnd115737340.html
"Hansen, Michael",1940 - ,,0,134397576,1,0,http://www.deutsche-biographie.de/pnd134397576.html
"Hammer, Armand",1898 - 1990,,0,118842803,0,0,http://www.deutsche-biographie.de/pnd118842803.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd118946005.html
"Hammer, Emil",1878 - 1958,,0,136571352,0,0,http://www.deutsche-biographie.de/pnd136571352.html
"Hankey, Maurice",1877 - 1963,,0,119098873,1,0,http://www.deutsche-biographie.de/pnd119098873.html
"Hange, Franz",1921 - 2001,,0,1030394008,0,0,http://www.deutsche-biographie.de/pnd1030394008.html
Hans <der Franzos>,[15. Jh.],,0,103080767,0,0,http://www.deutsche-biographie.de/pnd103080767.html
"Handwerg, Wilhelm",1891,,0,116445769,0,0,http://www.deutsche-biographie.de/pnd116445769.html
"Hammer, John J.",1842 - 1906,,0,1041760620,1,0,http://www.deutsche-biographie.de/pnd1041760620.html
"Hanna, Stephan",1961 - ,,0,1038541387,0,0,http://www.deutsche-biographie.de/pnd1038541387.html
"Hans, Johann",1765 - 1826,,0,1011516497,1,0,http://www.deutsche-biographie.de/pnd1011516497.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd122952340.html
"Hansen, Jobst Heinrich",1697 - 1758,,0,143068075,1,0,http://www.deutsche-biographie.de/pnd143068075.html
"Hanif, Mohammed",1965 - ,,0,138263353,0,0,http://www.deutsche-biographie.de/pnd138263353.html
"Hansteen, Christopher",1784 - 1873,,0,116461357,1,0,http://www.deutsche-biographie.de/pnd116461357.html
"Hantzsch, Herrmann",1885 - 1935,,0,1025099559,0,0,http://www.deutsche-biographie.de/pnd1025099559.html
"Hammerstiel, Robert F.",1957 - ,,0,120437325,1,0,http://www.deutsche-biographie.de/pnd120437325.html
"Hannig, Eduard F. F.",1937 - ,,0,124539319,0,0,http://www.deutsche-biographie.de/pnd124539319.html
"Hannenheim, Stefan von",1928,,0,126366624,0,0,http://www.deutsche-biographie.de/pnd126366624.html
"Handberg, Peter",1956 - 2008,,0,139782141,0,0,http://www.deutsche-biographie.de/pnd139782141.html
"Harcos, Bálint",1976 - ,,0,136396704,0,0,http://www.deutsche-biographie.de/pnd136396704.html
"Harbaum, Reinhard",1952 - ,,0,1045266116,1,0,http://www.deutsche-biographie.de/pnd1045266116.html
"Happach, Johann Casimir",1726 - 1783,,0,101336322,0,0,http://www.deutsche-biographie.de/pnd101336322.html
"Harboe, Christina Johanne von",1765[18. Jh.],,0,1049304764,0,0,http://www.deutsche-biographie.de/pnd1049304764.html
"Hanau, Marthe",1886 - 1935,,0,12366327X,0,0,http://www.deutsche-biographie.de/pnd12366327X.html
Hans <Pocksdörfer>,1431,,0,1019739274,0,0,http://www.deutsche-biographie.de/pnd1019739274.html
"Hanke, Reinhold",1839 - 1886,,0,174217730,0,0,http://www.deutsche-biographie.de/pnd174217730.html
Hans <von Mohr>,1450,,0,1029138826,1,0,http://www.deutsche-biographie.de/pnd1029138826.html
"Hannes, Hellmut",1925 - ,,0,123607620,0,0,http://www.deutsche-biographie.de/pnd123607620.html
"Hannenheim, Wilhelm von",1921,,0,126764212,0,0,http://www.deutsche-biographie.de/pnd126764212.html
Hanns <Lemlein>,1351,,0,143374532,1,0,http://www.deutsche-biographie.de/pnd143374532.html
"Hanckwitz, Augustus",1671-1708,,0,1037522419,1,0,http://www.deutsche-biographie.de/pnd1037522419.html
"Happe, Franz Engelbert",1863 - 1897,,0,116462698,1,0,http://www.deutsche-biographie.de/pnd116462698.html
Hans <von Westernach>,[15. Jh.],,0,103080813,0,0,http://www.deutsche-biographie.de/pnd103080813.html
"Hammerschmied, Kaspar",1613 - 1675,,0,130510297,0,0,http://www.deutsche-biographie.de/pnd130510297.html
"Hammer, Ursula",1962 - ,,0,1038516544,1,0,http://www.deutsche-biographie.de/pnd1038516544.html
"Hansen, Friedrich Ludolph",1738 - 1803,,0,1013008685,1,0,http://www.deutsche-biographie.de/pnd1013008685.html
"Hammig, Johann Christian",1732 - 1816,,0,1034149873,1,0,http://www.deutsche-biographie.de/pnd1034149873.html
Hanns <Teufel>,-,,0,101976015X,0,0,http://www.deutsche-biographie.de/pnd101976015X.html
