name,date,cities,funct,lat,longi,idn,iplace,ibio,url
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd13233609X.html
"Lange, A. F.",1870[19. Jh.],Stuttgart,wirk0,48.782222,9.176944,1044305266,1,0,http://www.deutsche-biographie.de/pnd1044305266.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd189535628.html
"Lang, Rudolf",1954 - 1991,,,,,1043177213,0,0,http://www.deutsche-biographie.de/pnd1043177213.html
"Lareveillère-Lepeaux, Louis Marie",1753 - 1824,,,,,117595187,0,0,http://www.deutsche-biographie.de/pnd117595187.html
"Lang, Johann",1582,Nürnberg,wirk0,49.454166,11.775000,12927559X,1,0,http://www.deutsche-biographie.de/pnd12927559X.html
"Lang, Nikolaus",1941 - ,,,,,11927373X,0,0,http://www.deutsche-biographie.de/pnd11927373X.html
"Langer, Max",1897 - 1985,Dresden,wirk0,51.050890,13.738319,118569473,1,0,http://www.deutsche-biographie.de/pnd118569473.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd136001483.html
Laodicus <Medicus>,[1.Jh.n.Chr.],,,,,10239699X,0,0,http://www.deutsche-biographie.de/pnd10239699X.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd120443570.html
"Larshoff, Jacob Georg",ca. 2. Viertel 19. Jahrhundert[2. Viertel 19. Jahrhundert],Kopenhagen,wirk0,55.675939,12.565530,1036651398,1,0,http://www.deutsche-biographie.de/pnd1036651398.html
"Lançon, Auguste André",1836 - 1887,Saint-Claude,wirk0,46.391640,5.864300,1033904031,1,0,http://www.deutsche-biographie.de/pnd1033904031.html
"Lançon, Auguste André",1836 - 1887,Paris,wirk1,48.853409,2.348800,1033904031,1,0,http://www.deutsche-biographie.de/pnd1033904031.html
"Langenscheidt, Florian",1955 - ,Berlin,wirk0,52.500000,13.416669,120837315,1,0,http://www.deutsche-biographie.de/pnd120837315.html
"Langenscheidt, Florian",1955 - ,München,wirk1,48.137222,11.575277,120837315,1,0,http://www.deutsche-biographie.de/pnd120837315.html
"Laren, Joos van",1586 - 1653,,,,,130782211,0,0,http://www.deutsche-biographie.de/pnd130782211.html
"Lankheit, Klaus",1913 - 1992,Karlsruhe,wirk0,49.004719,8.385830,11872648X,1,0,http://www.deutsche-biographie.de/pnd11872648X.html
"Lang, Othmar Franz",1921 - 2005,Wien,wirk0,48.208199,16.371690,119461846,1,0,http://www.deutsche-biographie.de/pnd119461846.html
"Lapp, Horst M.",1937 - ,,,,,118854518,0,0,http://www.deutsche-biographie.de/pnd118854518.html
"Lange, Andreas Wilhelm",1685 - 1742,Wittenberg,wirk0,51.866100,12.649729,140913955,1,0,http://www.deutsche-biographie.de/pnd140913955.html
"Lange, Andreas Wilhelm",1685 - 1742,Bautzen,wirk1,51.180349,14.434939,140913955,1,0,http://www.deutsche-biographie.de/pnd140913955.html
"Langen, Carl von",1753 - 1836,Trochtelfingen,wirk0,48.308430,9.244910,1012578305,1,0,http://www.deutsche-biographie.de/pnd1012578305.html
"Langen, Carl von",1753 - 1836,Rottweil,wirk1,48.167830,8.627190,1012578305,1,0,http://www.deutsche-biographie.de/pnd1012578305.html
"Langen, Carl von",1753 - 1836,Rottweil,wirk2,48.167830,8.627190,1012578305,1,0,http://www.deutsche-biographie.de/pnd1012578305.html
"Lange, Brigitte",1943 - ,Leipzig,wirk0,51.339444,12.371111,121607321,1,0,http://www.deutsche-biographie.de/pnd121607321.html
"Larbaud, Valéry",1881 - 1957,,,,,11877879X,0,0,http://www.deutsche-biographie.de/pnd11877879X.html
"Langhans, Doris",1948 - 1977,,,,,1043189416,0,0,http://www.deutsche-biographie.de/pnd1043189416.html
"Langewiesche, Dieter",1943 - ,,,,,121416119,0,0,http://www.deutsche-biographie.de/pnd121416119.html
"Lasinio, Giovanni Paolo",1798 - 1855,Florenz,wirk0,43.766669,11.250000,12397660X,1,0,http://www.deutsche-biographie.de/pnd12397660X.html
"Lasinio, Giovanni Paolo",1798 - 1855,Florenz,wirk1,43.766669,11.250000,12397660X,1,0,http://www.deutsche-biographie.de/pnd12397660X.html
"Langthaler, Hilde",-,Wien,wirk0,48.208199,16.371690,111997771,1,0,http://www.deutsche-biographie.de/pnd111997771.html
"Lanz, Elisabeth",1971 - ,Gmunden,wirk0,47.918869,13.797539,138106460,1,0,http://www.deutsche-biographie.de/pnd138106460.html
"Lange, Alfred",1927 - 1975,,,,,136814298,0,0,http://www.deutsche-biographie.de/pnd136814298.html
"Langle, Pierre de",1644 - 1724,,,,,120653761,0,0,http://www.deutsche-biographie.de/pnd120653761.html
"Lang, Ferdinand",-,Köln,wirk0,50.933333,6.950000,138701938,1,0,http://www.deutsche-biographie.de/pnd138701938.html
"Lange, Claudio",1944 - ,,,,,129197629,0,0,http://www.deutsche-biographie.de/pnd129197629.html
"Lange, Werner",1943 - ,,,,,129740497,0,0,http://www.deutsche-biographie.de/pnd129740497.html
"Lange, Elmar",1961 - 1988,,,,,1043179801,0,0,http://www.deutsche-biographie.de/pnd1043179801.html
"Langschmidt, Levin Burchard",1654 - 1722,,,,,121385965,0,0,http://www.deutsche-biographie.de/pnd121385965.html
"Laschet, Armin",1961 - ,,,,,121050343,0,0,http://www.deutsche-biographie.de/pnd121050343.html
