name,date,leben,lengthleben,idn,iplace,ibio,url
"Krüger, Wilhelm",1898 - 1977,,0,1033928259,1,0,http://www.deutsche-biographie.de/pnd1033928259.html
"Kroymann, Georg",1739 - 1820,,0,1019740078,0,0,http://www.deutsche-biographie.de/pnd1019740078.html
"Krüger, Barbara",1944 - ,,0,11856708X,0,0,http://www.deutsche-biographie.de/pnd11856708X.html
"Krys, Jacobus",1673 - 1724,,0,121193063,0,0,http://www.deutsche-biographie.de/pnd121193063.html
"Krüger, Hans",1884 - 1933,,0,130013684,0,0,http://www.deutsche-biographie.de/pnd130013684.html
"Krüger, Hans",-,,0,129517305,0,0,http://www.deutsche-biographie.de/pnd129517305.html
"Kubis, Fritz",1905 - 1966,,0,1043027548,0,0,http://www.deutsche-biographie.de/pnd1043027548.html
"Kuehns, Kurt Eberhard",1868 - 1895,,0,1048539865,0,0,http://www.deutsche-biographie.de/pnd1048539865.html
"Krämer, Frauke",1969 - 1996,,0,1043024751,1,0,http://www.deutsche-biographie.de/pnd1043024751.html
"Kucher, Simone",1973 - ,,0,103869163X,0,0,http://www.deutsche-biographie.de/pnd103869163X.html
"Kuefstein, Jacob Ludwig von",1625-16451645,,0,1024208230,0,0,http://www.deutsche-biographie.de/pnd1024208230.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd119363682.html
"Krumbach, Walter",1917 - 1985,,0,10450482X,1,0,http://www.deutsche-biographie.de/pnd10450482X.html
"Krysmanski, Hans Jürgen",1935 - ,,0,105993875,0,0,http://www.deutsche-biographie.de/pnd105993875.html
"Krüger, Lore",1914 - 2009,,0,136832792,1,0,http://www.deutsche-biographie.de/pnd136832792.html
"Krüger-Nieland, Gerda",1910 - 2000,,0,1012717259,1,0,http://www.deutsche-biographie.de/pnd1012717259.html
"Kubelka, Irene",1933 - 1989-2001,,0,1043026924,0,0,http://www.deutsche-biographie.de/pnd1043026924.html
"Kruis, Konrad",1930 - ,,0,126867003,1,0,http://www.deutsche-biographie.de/pnd126867003.html
"Kubizek, August",1888 - 1956,,0,118567373,0,0,http://www.deutsche-biographie.de/pnd118567373.html
