markettown,markettownid,state,stateid,latitude,longitude,cityid
Aach,1,Baden,1,47.849998,8.8500004,
Achern,2,Baden,1,48.633301,8.0666704,
Adelsheim,3,Baden,1,49.400002,9.3833303,
Baden-Baden,4,Baden,1,48.766701,8.2333298,165
Ballenberg,5,Baden,1,49.400002,9.5,
Blumberg,6,Baden,1,47.833302,8.53333,
Blumenfeld,7,Baden,1,47.8167,8.6666698,
Bonndorf,8,Baden,1,47.8167,8.3500004,
Boxberg,9,Baden,1,49.483299,9.6499996,
Braeunlingen,10,Baden,1,47.9333,8.4499998,
Breisach,11,Baden,1,48.033298,7.5833302,302
Bretten,12,Baden,1,49.033298,8.6999998,
Bruchsal,13,Baden,1,49.133301,8.6000004,321
Buchen,14,Baden,1,49.516701,9.3166704,
Buehl,15,Baden,1,48.700001,8.1333303,
Burkheim,16,Baden,1,48.083302,7.6333299,
Donaueschingen,17,Baden,1,47.950001,8.5,
Eberbach,18,Baden,1,49.466702,8.9833298,
Elzach,19,Baden,1,48.166698,8.0666704,
Emmendingen,20,Baden,1,48.116699,7.8499999,
Endingen,21,Baden,1,48.133301,7.6999998,
Engen,22,Baden,1,47.849998,8.7666702,
Eppingen,23,Baden,1,49.133301,8.9166698,
Ettenheim,24,Baden,1,48.25,7.8166699,
Ettlingen,25,Baden,1,48.9333,8.3999996,
Freiburg/Br.,26,Baden,1,47.983299,7.8499999,680
Freistett,27,Baden,1,48.666698,7.9333301,
Freudenberg,28,Baden,1,49.75,9.3333302,
Fuerstenberg,29,Baden,1,47.9333,8.4833298,
Furtwangen,30,Baden,1,48.049999,8.21667,
Gaggenau,31,Baden,1,48.799999,8.3166704,
Geisingen,32,Baden,1,47.916698,8.6499996,
Gengenbach,33,Baden,1,48.400002,8.0166702,
Gernsbach,34,Baden,1,48.766701,8.3333302,
Gochsheim,35,Baden,1,49.116699,8.71667,
Gruensfeld,36,Baden,1,49.599998,9.75,
Haslach,37,Baden,1,48.283298,8.0833302,
Hauenstein,38,Baden,1,47.5667,8.0666704,
Hausach,39,Baden,1,48.283298,8.1833296,
Heidelberg,40,Baden,1,49.416698,8.71667,813
Heidelsheim,41,Baden,1,49.133301,8.6000004,
Heitersheim,42,Baden,1,47.883301,7.6500001,
Herbolzheim,43,Baden,1,48.216702,7.78333,
Hilsbach,44,Baden,1,49.25,8.8833303,
Hockenheim,45,Baden,1,49.3167,8.5500002,
Hornberg,46,Baden,1,48.216702,8.2333298,
Huefingen,47,Baden,1,47.9333,8.4833298,
Kandern,48,Baden,1,47.716702,7.6666698,
Karlsruhe,49,Baden,1,49.016701,8.3999996,908
Karlsruhe-Durlach,50,Baden,1,49,8.46667,908
Kehl,51,Baden,1,48.5667,7.8166699,
Kenzingen,52,Baden,1,48.200001,7.7666702,
Koenigshofen,53,Baden,1,49.5667,9.6999998,
Konstanz,54,Baden,1,47.666698,9.1833296,953
Krautheim,55,Baden,1,49.383301,9.6333303,
Kuelsheim,56,Baden,1,49.666698,9.5166702,
Kuppenheim,57,Baden,1,48.833302,8.25,
Ladenburg,58,Baden,1,49.466702,8.6166697,
Lahr,59,Baden,1,48.333302,7.8666701,1000
Lauda,60,Baden,1,49.5667,9.6999998,
Laufenburg,61,Baden,1,47.5667,8.0666704,
Lichtenau,62,Baden,1,48.733299,8,
Loeffingen,63,Baden,1,47.883301,8.3500004,
Loerrach,64,Baden,1,47.616699,7.6666698,
Mahlberg,65,Baden,1,48.283298,7.8166699,
Mannheim,66,Baden,1,49.483299,8.46667,1140
Markdorf,67,Baden,1,47.716702,9.3833303,
Meersburg,68,Baden,1,47.700001,9.2666702,
Messkirch,69,Baden,1,48,9.1166697,
Moehringen,70,Baden,1,47.983299,8.8166704,
Mosbach,71,Baden,1,49.349998,9.1499996,
Muellheim,72,Baden,1,47.8167,7.6333299,
Neckarbischofsheim,73,Baden,1,49.299999,8.96667,
Neckargemuend,74,Baden,1,49.400002,8.8000002,
Neudenau,75,Baden,1,49.283298,9.2666702,
Neuenburg,76,Baden,1,47.8167,7.5666699,
Neustadt/Sch.,77,Baden,1,47.916698,8.21667,
Obergrombach,78,Baden,1,49.133301,8.6000004,
Oberkirch,79,Baden,1,48.533298,8.0833302,
Offenburg,80,Baden,1,48.466702,7.9333301,
Oppenau,81,Baden,1,48.466702,8.1666698,
Osterburken,82,Baden,1,49.4333,9.4333296,
Pforzheim,83,Baden,1,48.900002,8.71667,1482
Pfullendorf,84,Baden,1,47.916698,9.25,
Philippsburg,85,Baden,1,49.233299,8.4499998,
Radolfzell,86,Baden,1,47.733299,8.96667,
Rastatt,87,Baden,1,48.849998,8.1999998,
Renchen,88,Baden,1,48.583302,8.0166702,
Rheinfelden,89,Baden,1,47.5667,7.8000002,
Rotenberg,90,Baden,1,49.266701,8.6999998,
Saeckingen,91,Baden,1,47.549999,7.9499998,
Schiltach,92,Baden,1,48.283298,8.3500004,
Schoenau,93,Baden,1,49.4333,8.8166704,
Schoenau i. W.,94,Baden,1,47.783298,7.9000001,
Schopfheim,95,Baden,1,47.650002,7.8166699,
Schwetzingen,96,Baden,1,49.383301,8.5666704,
Singen,97,Baden,1,47.766701,8.8333302,
Sinsheim,98,Baden,1,49.25,8.8833303,
St. Blasien,99,Baden,1,47.766701,8.1333303,
St. Georgen,100,Baden,1,48.116699,8.3333302,
Staufen,101,Baden,1,47.883301,7.7333298,
Steinbach,102,Baden,1,48.766701,8.2333298,
Stockach,103,Baden,1,47.849998,9.0166702,
Stuehlingen,104,Baden,1,47.75,8.4499998,
Sulzburg,105,Baden,1,47.833302,7.71667,
Tauberbischofsheim,106,Baden,1,49.616699,9.6666698,
Tengen,107,Baden,1,47.8167,8.6666698,
Tiengen,108,Baden,1,47.616699,8.21667,
Todtnau,109,Baden,1,47.833302,7.9499998,
Triberg,110,Baden,1,48.133301,8.2333298,
Ueberlingen,111,Baden,1,47.766701,9.1666698,1986
Unteroewisheim,112,Baden,1,49.116699,8.71667,
Villingen,113,Baden,1,48.0667,8.46667,
Voehrenbach,114,Baden,1,48.049999,8.3000002,
Waibstadt,115,Baden,1,49.299999,8.9166698,
Waldkirch,116,Baden,1,48.099998,7.96667,
Waldshut,117,Baden,1,47.616699,8.21667,
Walldorf,118,Baden,1,49.299999,8.6499996,
Wallduern,119,Baden,1,49.583302,9.3666697,
